figure,metric,metric_label,condition,condition_label,domain,domain_label,n,mean,min,max,std,plotted_value
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,ours,Ours,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked,prediction_set_size_when_asked,Prediction Set Size When Asked,ours,Ours,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,all,All,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,all,All,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,no,No,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,no,No,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,random,Random,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,random,Random,tomato,Tomato,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,knowno_gpt4,KnowNo,waste,Waste,201,2.129353,2.000000,3.500000,0.276919,2.129353
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,knowno_gpt4,KnowNo,tomato,Tomato,240,2.629167,2.000000,3.500000,0.377427,2.629167
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,ours,Ours,waste,Waste,0,,,,,
policy_compare_total_prediction_set_size_when_asked_success_only,prediction_set_size_when_asked_success_only,Prediction Set Size When Asked,ours,Ours,tomato,Tomato,0,,,,,
